"Grid_code" "X" "Y" "lib" "area" "year" "grid" "plant_abundance_grid" "biomass_mean" "biomass_sd" "buffer_size" "Zones_humides" "Forets_et_milieux_naturels_terrestres" "Zones_en_eau" "Milieux_cultives" "Num" "pHwater" "lime_tot" "MO" "Phos" "K" "Mg" "Ca" "Na" "N" "C" "CN" "clay" "SiltF" "SiltC" "SandF" "SandC" "Cl" "Res" "Cond" "Profondeur" "depth_oxy"
"1" "20_CAM_01" 834759.105785739 6265636.89960002 "Forets_et_milieux_naturels_terrestres" 25581.3355665099 20 1 24 11.1211111111111 2.09952044789069 300 69.9953835662576 28.5278898840632 1.47672654967924 0 "2307063" 8.4 21 7.8 42 1626 1868 12708 3267 4349 45.2436194895592 10.4032236122233 38 35.8 19.9 4.4 1.9 2560 520 192.307692307692 10 "10-19"
"2" "20_CAM_02" 834711.188288916 6265620.87705641 "Forets_et_milieux_naturels_terrestres" 25581.3355665099 20 2 18 14.2422222222222 6.86013261128708 300 70.629687653052 28.0545193053546 1.31579304159343 0 "2307064" 8.6 20 8.09 43 1238 1629 12100 2778 4709 46.9257540603248 9.96512084525904 35.1 36.9 19.9 4.4 3.7 2100 580 172.413793103448 10 "10-19"
"3" "20_CAM_03" 834724.885466154 6265654.85238785 "Forets_et_milieux_naturels_terrestres" 25581.3355665099 20 3 19 9.36222222222222 4.80612832167894 300 68.9761342882558 29.6415414699772 1.38232424176697 0 "2307065" 8.6 20 8 40 951 1891 11451 3116 4316 46.4037122969838 10.7515552124615 36.4 37 19.2 4.8 2.6 2680 480 208.333333333333 5 "0-9"
"4" "20_CAM_04" 834666.826277575 6265609.04860415 "Zones_humides" 50297.2911251667 20 4 13 25.6033333333333 8.47288469176821 300 72.5692043306982 26.261650748979 1.16914492032273 0 "2307066" 8.4 16 9 44 856 1206 13349 694 4629 52.2041763341067 11.2776358466422 31.2 32.8 16.8 9.2 10 370 1850 54.0540540540541 18 "10-19"
"5" "20_CAM_05" 834557.433944428 6265575.28472366 "Zones_humides" 28722.1121536619 20 5 14 41.8844444444444 23.0031433238542 300 80.4483545664544 18.742580482999 0.809064950546677 0 "2307067" 8.6 23 7.89 38 758 1732 12384 1723 4092 45.7656612529002 11.1841791918134 38.2 36 11.7 6.7 7.4 1100 930 107.52688172043 20 "20-29"
"6" "21_CAM_01" 838084.392401543 6258749.43046573 "Forets_et_milieux_naturels_terrestres" 37565.8031011187 21 1 39 4.19222222222222 1.33827106538416 300 68.2938222290812 25.1919289756082 0 6.51424879531056 "2307068" 8.2 21 2.95 29 193 163 11397 96 2070 17.1113689095128 8.26636179203515 18.6 16.7 10 19.5 35.2 128 4490 22.271714922049 40 ">40"
"7" "21_CAM_02" 837887.196678662 6259084.11893968 "Forets_et_milieux_naturels_terrestres" 43668.8146532662 21 2 40 4.15777777777778 2.02292348951819 300 59.1702875463152 9.69225920523508 0 31.1374532484497 "2307069" 8.4 22 1.32 42 90 100 8054 40 924 7.65661252900232 8.28637719588996 7.6 3.6 6.1 20.6 62.1 54 6500 15.3846153846154 40 ">40"
"8" "21_CAM_03" 834933.277287704 6257912.16732265 "Zones_humides" 20959.2613682477 21 3 27 4.69222222222222 1.66014139290738 300 96.7411119833712 0 3.25888801662885 0 "2307070" 8.8 18 0.69 26 63 185 7959 201 424 4.00232018561485 9.43943440003502 2.9 1.7 4.6 18.8 72 320 3150 31.7460317460317 35 "30-39"
"9" "21_CAM_04" 837112.889492494 6268318.02664552 "Zones_humides" 90405.0486016646 21 4 9 4.41666666666667 2.12450582489199 300 26.1285557368458 34.7114053993729 0 39.1600388637813 "2307071" 8.5 28 2.23 50 566 1621 10142 4010 1554 12.9350348027842 8.32370321929487 42.4 43.4 9.4 3.6 1.2 4140 310 322.58064516129 30 "30-39"
"10" "21_CAM_05" 837176.533717652 6267586.33993613 "Zones_humides" 39753.4001373216 21 5 11 6.56 1.87397972240897 300 66.538987271397 14.5889138949177 0 18.8720988336853 "2307072" 8.1 28 5.31 31 425 1442 12033 2384 3359 30.800464037123 9.16953380087019 40.4 40.4 10.4 5.5 3.3 2480 450 222.222222222222 15 "10-19"
"11" "21_CAM_06" 837256.378025946 6266940.67124109 "Zones_humides" 67592.3299603388 21 6 12 6.33 4.3081086337278 300 66.4155400781032 0.76821386812406 0 32.8162460537727 "2307073" 8 27 4.36 59 365 1271 12174 2342 2351 25.2900232018562 10.7571344967487 36.8 46.3 9.3 4.4 3.2 3020 410 243.90243902439 27 "20-29"
"12" "21_CAM_07" 837840.616403536 6266559.8874093 "Forets_et_milieux_naturels_terrestres" 31766.8704923466 21 7 10 4.24888888888889 0.939247630346285 300 0.44227705077753 80.7451663503226 0 18.8125565988999 "2307074" 8.1 28 3.48 69 301 1384 11267 2458 2149 20.1856148491879 9.39302691911956 33.7 47.2 14.4 3.1 1.6 3180 380 263.157894736842 15 "10-19"
"13" "21_CAM_08" 834316.674027953 6276943.37162414 "Milieux_cultives" 19519.6118803378 21 8 8 17.8755555555556 5.03028605327548 300 0 6.48234080440581 0 93.5176591955942 "2307075" 8.2 26 5.26 61 88 727 11788 280 2947 30.5104408352668 10.3530508433209 21.2 30.4 26.3 19.3 2.8 96 2430 41.1522633744856 27 "20-29"
"14" "21_CAM_09" 834321.104023347 6277078.56333232 "Milieux_cultives" 26733.0321926912 21 9 10 16.8766666666667 3.19026252838226 300 0 20.1397367727607 0 79.8602632272393 "2307076" 8 28 6.63 48 69 264 11929 91 3689 38.4570765661253 10.4247971174099 19.2 27.3 24.1 25.5 3.9 26 3570 28.0112044817927 27 "20-29"
"15" "21_CAM_10" 835789.39676187 6268569.57609623 "Forets_et_milieux_naturels_terrestres" 10444.5241355319 21 10 16 19.1411111111111 7.76750031291349 300 24.1003928477598 74.9988701792158 0.900736973024373 0 "2307077" 8.1 28 4.3 38 313 590 12169 345 2635 24.9419953596288 9.46565288790466 25.8 40 20.4 11.7 2.1 378 1860 53.7634408602151 15 "10-19"
"16" "21_CAM_11" 835586.676816353 6268550.81698637 "Forets_et_milieux_naturels_terrestres" 14848.8367450163 21 11 8 4.73777777777778 2.34526532495674 300 25.6642415131445 74.3357584868555 0 0 "2307078" 8.1 22 7.29 52 289 931 13457 449 4038 42.2853828306265 10.4718630090704 36.6 38.9 14.7 7.4 2.4 418 1670 59.8802395209581 0 "0-9"
"17" "21_CAM_12" 833585.144397089 6277143.07687121 "Forets_et_milieux_naturels_terrestres" 380280.25502373 21 12 7 25.89 12.5601920765568 300 8.60178794771631 51.0873388353683 1.53310728237621 38.7777659345392 "2307079" 8.2 28 4.19 24 281 248 13262 57 2739 24.3039443155452 8.8732910973148 29.5 38.1 16.2 13.9 2.3 70 4360 22.9357798165138 34 "30-39"
"18" "21_CAM_13" 833534.151849118 6277065.09060618 "Forets_et_milieux_naturels_terrestres" 380280.25502373 21 13 6 28.38 14.7200093410296 300 8.64701714978093 68.1485870112613 1.20119726089305 22.0031985780648 "2307080" 8.1 28 4.44 23 258 210 13538 49 2862 25.754060324826 8.99862345381761 31.1 38.8 18.4 9.8 1.9 44 4660 21.4592274678112 31 "30-39"
"19" "21_CAM_16" 831006.963080144 6258684.33435564 "Forets_et_milieux_naturels_terrestres" 6654.0935739025 21 16 10 13.9677777777778 9.41795861343871 300 17.3404322899678 2.44596604692206 80.2136016631101 0 "2307081" 9 20 0.55 29 31 128 7282 43 332 3.19025522041763 9.60920247113745 2.9 0.7 3.2 10.7 82.5 26 8850 11.2994350282486 40 ">40"
"20" "21_CAM_17" 830128.206555715 6258068.23830218 "Forets_et_milieux_naturels_terrestres" 116230.031967989 21 17 9 19.1588888888889 10.2319443954271 300 31.1099188117931 41.1861313986723 27.7039497895346 0 "2307082" 9.3 25 0.49 26 117 656 8765 865 301 2.84222737819026 9.44261587438623 3.6 2.5 3.4 26.8 63.7 1180 1150 86.9565217391304 2 "0-9"
"21" "21_CAM_18" 835996.754753778 6269963.39545544 "Zones_humides" 29019.2270698895 21 18 3 5.11555555555556 1.50007592400444 300 93.3235058027115 5.22597756846316 1.4505166288254 0 "2307083" 8.3 24 6.94 39 686 1599 12129 1638 4184 40.2552204176334 9.62122858930053 46.9 34.9 12.5 3.8 1.9 1240 790 126.582278481013 1 "0-9"
"22" "22_CAM_01" 834529.743077108 6264140.64966544 "Forets_et_milieux_naturels_terrestres" 23181.798881846 22 1 51 8.84111111111111 1.71136235529215 300 80.0409411944412 19.9590588055588 0 0 "2307084" 8 15 4.01 47 191 152 8903 62 2150 23.2598607888631 10.8185399017968 10.4 7.6 7.2 13.7 61.1 40 4390 22.7790432801822 40 ">40"
"23" "22_CAM_02" 834560.122010207 6264151.62849785 "Forets_et_milieux_naturels_terrestres" 23181.798881846 22 2 40 7.90555555555556 2.89207153745854 300 80.8219141395186 19.1780858604813 0 0 "2307085" 8.1 17 2.69 50 142 145 8020 36 1451 15.6032482598608 10.7534447001108 6 4 6 12.9 71.1 26 5280 18.9393939393939 40 ">40"
"24" "22_CAM_03" 835814.599352044 6266314.17396458 "Forets_et_milieux_naturels_terrestres" 3717.30744209199 22 3 55 7.69 2.84744183434886 300 57.3466471957442 41.8131553046554 0.840197499600418 0 "2307086" 8.2 27 3.86 25 227 291 12007 231 2325 22.3897911832947 9.63001771324502 29.2 51.5 12.6 4.3 2.4 346 2690 37.1747211895911 40 ">40"
"25" "22_CAM_04" 835886.516429278 6266362.17405338 "Zones_humides" 2332066.47844784 22 4 61 9.54333333333333 3.04724465706316 300 55.8728383116197 43.8887412390297 0.2384204493506 0 "2307087" 8 28 4.37 31 382 613 12253 928 2625 25.3480278422274 9.65639155894377 28.5 47.7 14.3 6.7 2.8 1940 770 129.87012987013 37 "30-39"
