"Grid_code" "Collection_date" "Ecosystem" "Country" "Locality" "X" "Y" "Num" "pHwater" "lime_tot" "MO" "Phos" "K" "Mg" "Ca" "Na" "N" "C" "CN" "clay" "SiltF" "SiltC" "SandF" "SandC" "Cl" "Res" "Cond" "Profondeur" "dep_oxy_num" "depth_oxy" "Pature" "Fauche" "plant_richness" "pl_rich_LCL" "pl_rich_UCL" "plant_H" "pl_H_LCL" "pl_H_UCL" "virus_richness" "v_rich_LCL" "v_rich_UCL" "virus_H" "v_H_LCL" "v_H_UCL" "Biomass" "fungi_richness" "plant_richness2" "p_richness_class5" "p_richness_class2" "log_virus_richness" "log_plant_richness" "log_plant_richness2" "log_plant_H" "log_virus_H" "log_biomass" "log_plant_equit" "plant_equit" "buffer_size" "wetland" "natural_landscape" "non_emitting" "cultivated" "artificial" "clust_landscp" "clust_land_use" "sbm_soil" "Vegetation" "clust_smb_grid_plant" "sbm_virus"
"1" "20_CAM_01" "2020-06-22" "Mediterranean salt grassland" "France" "Arles" 4.66500403359532 43.4770370274782 2307063 8.4 21 7.8 42 1626 1868 12708 3267 4349 45.2436194895592 10.4032236122233 38 35.8 19.9 4.4 1.9 2560 520 192.307692307692 "10" 10 "10-19" 1 0 24 22.6867077197467 25.3132922802533 10.8971961085801 10.4663945466358 11.3279976705244 14 9.58424056527439 18.4157594347256 13.4543426440594 9.15522577538522 17.7534595127336 100.09 65 576 "(20,25]" "(22,24]" 2.70805020110221 3.2188758248682 10.3611615759209 2.47630275122674 2.6709948984093 4.61601120916597 -0.74257307364146 0.454049837857503 300 69.9953835509959 16.2020108009246 13.8026056480794 0 0 4 1 1 0.938888888888889 2 2
"2" "20_CAM_02" "2020-06-22" "Mediterranean salt grassland" "France" "Arles" 4.6644079964608 43.4769019950181 2307064 8.6 20 8.09 43 1238 1629 12100 2778 4709 46.9257540603248 9.96512084525904 35.1 36.9 19.9 4.4 3.7 2100 580 172.413793103448 "10" 10 "10-19" 1 0 18 14.1251301711414 21.8748698288586 4.39108808645524 4.20227707102656 4.57989910188393 4 1.54497036829486 6.45502963170514 4 1.68032607996215 6.31967392003785 128.18 50 324 "(15,20]" "(16,18]" 1.6094379124341 2.94443897916644 8.66972090203471 1.68474723587513 1.6094379124341 4.86120678060433 -1.25969174329131 0.243949338136402 300 70.6296876542131 14.9385719922509 14.431740353536 0 0 4 1 1 0.877777777777778 2 4
"3" "20_CAM_03" "2020-06-22" "Parapholis-dominated salt grassland" "France" "Arles" 4.66458602808416 43.4772050008178 2307065 8.6 20 8 40 951 1891 11451 3116 4316 46.4037122969838 10.7515552124615 36.4 37 19.2 4.8 2.6 2680 480 208.333333333333 "5" 5 "0-9" 1 0 19 14.4568300235468 23.5431699764532 4.23837130876143 4.04211849537905 4.43462412214381 12 6.28577214525881 17.7142278547412 11.4846949841069 5.90576872124907 17.0636212469648 84.26 57 361 "(15,20]" "(18,20]" 2.56494935746154 2.99573227355399 8.97441185481296 1.65601063108007 2.52450349284515 4.44570541133706 -1.33972164247392 0.223072174145338 300 68.9761342811918 15.6095875339892 15.414278184819 0 0 4 1 1 0.794444444444444 3 2
"4" "20_CAM_04" "2020-06-22" "Mediterranean grassland" "France" "Arles" 4.6638569701463 43.47680401057 2307066 8.4 16 9 44 856 1206 13349 694 4629 52.2041763341067 11.2776358466422 31.2 32.8 16.8 9.2 10 370 1850 54.0540540540541 "18" 18 "10-19" 1 0 13 10.2563361455556 15.7436638544444 4.02990151286443 3.86210266386514 4.19770036186372 30 21.6849541791406 38.3150458208594 25.4457440288415 17.4789018322512 33.4125862254317 230.43 134 169 "(10,15]" "(12,14]" 3.43398720448515 2.63905732961526 6.96462358899602 1.61540040397253 3.27509523907552 5.44427745199157 -1.02365692564273 0.309992424066495 300 72.4211564437806 13.535688247065 14.0431553091544 0 0 4 1 1 0.688888888888889 7 1
"5" "20_CAM_05" "2020-06-23" "Mediterranean grassland" "France" "Arles" 4.66249700635672 43.476521037519 2307067 8.6 23 7.89 38 758 1732 12384 1723 4092 45.7656612529002 11.1841791918134 38.2 36 11.7 6.7 7.4 1100 930 107.52688172043 "20" 20 "20-29" 1 0 14 10.4430733729415 17.5569266270585 3.61074948510714 3.44382348793245 3.77767548228183 24 16.3474788603028 31.6525211396972 20.0180762083185 13.20224139224 26.833911024397 376.96 117 196 "(10,15]" "(12,14]" 3.2188758248682 2.70805020110221 7.33353589168972 1.52839042190851 3.0453828392965 5.93478836991443 -1.1796597791937 0.257910677507653 300 79.1562077142157 8.45236458875105 12.3914276970333 0 0 4 1 1 0.811111111111111 3 1
"6" "21_CAM_01" "2021-04-22" "Mediterranean grassland annuals" "France" "Arles" 4.7042403291485 43.414448767808 2307068 8.2 21 2.95 29 193 163 11397 96 2070 17.1113689095128 8.26636179203515 18.6 16.7 10 19.5 35.2 128 4490 22.271714922049 ">40" 40 ">40" 1 0 39 33.0240937464621 44.9759062535379 17.2887583736596 15.9945866159418 18.5829301313773 12 7.55592504951872 16.4440749504813 10.4221461677094 6.3729467019071 14.4713456335117 37.73 110 1521 NA NA 2.56494935746154 3.68887945411394 13.6078316269839 2.90628657456863 2.43555411719366 3.65661449352666 -0.78259287954531 0.443301496760502 300 68.293822226745 25.1919289850741 0 6.51424878818088 0 4 1 4 0.538888888888889 1 2
"7" "21_CAM_02" "2021-05-07" "Mediterranean grassland annuals" "France" "Arles" 4.70189630659263 43.4174973370585 2307069 8.4 22 1.32 42 90 100 8054 40 924 7.65661252900232 8.28637719588996 7.6 3.6 6.1 20.6 62.1 54 6500 15.3846153846154 ">40" 40 ">40" 1 0 40 36.4625223532568 43.5374776467432 15.6220909532497 14.4579280188945 16.786253887605 7 3.03216565424629 10.9678343457537 6.72717132202972 3.0402084702419 10.4141341738175 37.42 95 1600 NA NA 2.07944154167984 3.71357206670431 13.7906174946065 2.81073259097543 2.04474286057439 3.64857815734041 -0.902839475728876 0.390552273831244 300 59.1702875542097 9.6922592128718 0 31.1374532329185 0 4 1 4 0.738888888888889 1 3
"8" "21_CAM_03" "2021-05-07" "Mediterranean salt grassland" "France" "Arles" 4.66514298966056 43.4075228952236 2307070 8.8 18 0.69 26 63 185 7959 201 424 4.00232018561485 9.43943440003502 2.9 1.7 4.6 18.8 72 320 3150 31.7460317460317 "35" 35 "30-39" 0 0 27 22.4850449805461 31.5149550194539 11.2249136779397 10.4518806787771 11.9979466771023 0 NA NA 0 NA NA 42.23 88 729 "(25,30]" "(26,28]" 0 3.3322045101752 11.103586897632 2.50347597422678 0 3.76653469867954 -0.828728535948422 0.415737543627397 300 80.5054849367835 0 19.4945150632165 0 0 4 2 4 0.577777777777778 1 4
"9" "21_CAM_04" "2021-05-12" "Restored grassland" "France" "Arles" 4.69478803686798 43.5007029958069 2307071 8.5 28 2.23 50 566 1621 10142 4010 1554 12.9350348027842 8.32370321929487 42.4 43.4 9.4 3.6 1.2 4140 310 322.58064516129 "30" 30 "30-39" 1 0 9 8.22405549663348 9.77594450336652 4.09763765083791 3.94283222506557 4.25244307661024 1 1 1 1 1 1 39.75 52 81 "(5,10]" "(8,10]" 0.693147180559945 2.30258509299405 5.3018981104784 1.62877722669931 0.693147180559945 3.70745583968687 -0.673807866294732 0.455293072315323 300 26.1285557510667 34.7114053823552 0 39.1600388665781 0 2 1 2 0.494444444444444 6 4
"10" "21_CAM_05" "2021-05-12" "Pond grassland" "France" "Arles" 4.69538031949132 43.4941092442781 2307072 8.1 28 5.31 31 425 1442 12033 2384 3359 30.800464037123 9.16953380087019 40.4 40.4 10.4 5.5 3.3 2480 450 222.222222222222 "15" 15 "10-19" 1 0 11 9.9523551827764 12.0476448172236 4.37659276068189 4.06550031593641 4.68768520542737 3 1.27399579548377 4.72600420451622 3 1.43564150747464 4.56435849252536 59.04 43 121 "(10,15]" "(10,12]" 1.38629436111989 2.484906649788 6.17476105816062 1.68205485768611 1.38629436111989 4.09501100676526 -0.802851792101893 0.397872069152899 300 55.8079351493576 0.53133427013003 24.7886317601357 18.8720988203767 0 4 1 2 0.438888888888889 6 4
