"20_CAM_01" "20_CAM_02" "20_CAM_03" "20_CAM_04" "20_CAM_05" "21_CAM_01" "21_CAM_02" "21_CAM_03" "21_CAM_04" "21_CAM_05" "21_CAM_06" "21_CAM_07" "21_CAM_08" "21_CAM_09" "21_CAM_10" "21_CAM_11" "21_CAM_12" "21_CAM_13" "21_CAM_16" "21_CAM_17" "21_CAM_18" "22_CAM_01" "22_CAM_02" "22_CAM_03" "22_CAM_04" "22_CAM_05" "22_CAM_06" "22_CAM_07" "22_CAM_08" "22_CAM_09" "22_CAM_10" "22_CAM_11" "22_CAM_12" "22_CAM_13" "22_CAM_14" "22_CAM_15" "22_CAM_16" "22_CAM_17" "22_CAM_18" "22_CAM_19" "22_CAM_20" "22_CAM_21"
"Acarospora_fuscata" 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acervuloseptoria_ziziphicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Achroceratosphaeria_potamia" 0 0 0 420 134 0 0 3 0 0 2 0 0 0 0 0 159 105 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Achroiostachys_aurantispora" 0 0 0 0 0 1 2 0 0 0 0 0 305 620 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0
"Achroiostachys_levigata" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 6 16 1 0 0 6 0 0 0 0 0 0 20 0 0 0 0 0 0 0
"Acrocalymma_fici" 47 0 0 0 0 0 1 0 0 0 0 0 3 16 0 0 0 0 0 0 0 0 0 0 0 0 1578 98 2 1 74 0 0 0 0 0 0 0 0 0 0 0
"Acrophialophora_fusispora" 0 0 0 2 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84 386 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agaricus_devoniensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"Agonimia_allobata" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agrocybe_flexuosipes" 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alfaria_ossiformis" 5 0 0 0 0 11 8 23 0 0 324 0 0 0 4 10 1 1 342 0 0 6 0 25 54 1199 814 235 0 0 0 0 19 112 0 0 0 0 0 0 0 0
"Alfaria_putrefolia" 86 1 22 59 3 216 394 0 0 0 0 0 0 0 0 0 1453 1423 128 765 0 83 97 70 157 1 572 22 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Alfaria_terrestris" 119 0 1 0 0 107 17 0 3 0 334 0 108 251 1 101 0 0 0 282 0 2 109 0 50 0 0 230 5 58 329 18 0 0 0 0 0 0 0 0 0 0
"Alfoldia_vorosii" 12 0 0 0 0 0 1 0 0 0 5 0 0 2 0 0 0 0 0 0 0 0 0 27 3 24 0 0 4 0 0 1 0 0 0 0 0 3 0 0 0 0
"Allocanariomyces_tritici" 24 1 0 50 73 10 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Alloconiothyrium_aptrootii" 0 1 0 2469 2412 0 0 0 0 0 0 0 0 1 0 0 0 84 0 0 0 0 0 76 164 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alloleptosphaeria_iridicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1780 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alternaria_alternata" 5439 2474 2623 2461 3433 44117 36494 7298 10546 33446 93154 14775 7698 11712 4106 19219 12297 10529 42024 13086 10132 4292 7942 4263 3918 17483 7290 1686 20507 10238 3958 33835 43682 25911 37030 217 16225 3843 31117 2940 1017 1359
"Alternaria_botryospora" 0 0 1 0 2 9763 255 0 1 23 13 1 0 1 0 5 0 0 0 1 10 1 119 0 0 1 0 0 1 1 0 1 1 0 2 22 1 0 0 4 12 89
"Alternaria_caricis" 0 0 0 0 0 3555 2430 0 0 0 0 0 0 0 0 0 322 4 1 0 0 1895 3430 48 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Alternaria_consortialis" 35 42 79 9 24 120 62 37 499 119 224 591 4 5 5 156 8 28 63 2 81 82 61 10 17 112 22 33 204 53 26 67 166 140 151 23 33 82 182 181 63 38
"Alternaria_eichhorniae" 36 9 17 8 9 113 56 88 21 30 163 33 14 7 11 130 5 10 151 15 50 5 12 20 17 94 78 13 89 33 14 88 303 253 447 0 26 10 42 4 2 0
"Alternaria_hungarica" 10 7 8 0 3 278 15 1 3 5 18 5 8 12 25 1 1 0 169 2 18 18 30 30 31 6 2 1 8 6 0 2 18 7 1 1 0 29 0 4 2 0
"Alternaria_junci-acuti" 0 1 1 0 0 570 11001 0 5 70 1948 0 0 1 2 29 0 13 0 0 40 2080 4914 51 0 0 0 0 0 0 0 3 0 0 0 0 0 3 1 0 0 0
"Alternaria_kareliniae" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 13 0 0 0 0 0 0 0 0 0 1 0 0 0 5 0 1 0 0 0 0 1 1 8
"Alternaria_papavericola" 31 24 22 1 10 64 64 8 5 17 21 7 101 173 47 4 6 7 125 10 30 1728 3759 16 46 14 4 3 106 7 2 6 66 24 85 0 0 2 2 5 2 9
"Alternaria_petuchovskii" 208 65 3649 3 120 347 152 20012 50345 153713 24925 29259 14 1 1 602 4 1 23 178 79288 418 277 93 438 13889 5910 3848 26 5 6 4 138 558 26 8496 5988 13086 3664 3664 20247 47296
"Alternaria_planifunda" 1017 469 542 160 417 2034 757 858 140 106 1228 430 305 263 332 2860 297 499 642 514 112 2392 2984 139 183 877 433 44 2536 919 516 1781 13201 9464 3513 23 16 30 369 93 14 5
"Alternaria_pobletensis" 12214 14535 39916 3139 32730 41856 3963 117043 361481 314232 279794 205449 15223 17042 9528 33973 40027 28057 66748 37452 415824 4162 3258 4658 9650 23885 34144 6382 24719 8613 2673 11236 309632 156756 241024 1745 9556 19549 8369 14941 272594 605393
"Alternaria_selini" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 34 0 177 33 24 0 0 0 0 0 0 0
"Alternaria_thalictrigena" 0 2 20 0 0 0 0 0 3 1 4 6 0 0 0 0 2 2 3087 0 0 0 7 0 1 11 0 0 0 0 0 0 1 0 5 0 1 1 1 5 3 0
"Amniculicola_lignicola" 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ampelomyces_quisqualis" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anthostomella_lamiacearum" 1 0 0 0 1 153 0 0 0 0 0 0 0 0 0 13 0 0 317 0 0 0 0 65 8 5 16 50 0 0 5 0 0 0 0 0 0 0 36 0 0 0
"Anthostomella_ravennica" 0 0 0 109 1607 1 0 1 0 14 0 0 0 0 0 0 0 0 0 3537 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anthostomelloides_leucospermi" 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Antidactylaria_ampulliformis" 1 0 0 0 8 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 1 2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apenidiella_foetida" 0 0 4 33 21 0 0 0 0 0 19 1 0 0 0 0 1597 2631 0 1 1 0 0 0 0 0 0 0 0 0 0 0 5 15 2161 0 0 0 0 0 0 0
"Apenidiella_strumelloidea" 8 0 0 0 0 2452 143 0 0 0 0 0 12856 2525 125 584 0 0 0 0 0 0 0 1 0 0 0 0 83 642 1 1 0 0 0 0 0 0 0 0 0 0
"Aphanocladium_album" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apiosordaria_microcarpa" 0 0 1 0 0 53 12 0 4 0 0 0 0 0 0 0 0 0 0 0 0 87 356 15 20 173 61 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0
"Apiospora_phragmitis" 0 0 0 0 0 0 0 0 1 32 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apiospora_pterosperma" 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 850 332 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apodus_deciduus" 0 0 0 44 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arachnopeziza_estonica" 0 0 0 144 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arthrobotrys_psychrophilus" 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
