"year" "grid" "plant_abundance_grid" "Grid_code"
"1" "20" "01" 24 "20_CAM_01"
"2" "20" "02" 18 "20_CAM_02"
"3" "20" "03" 19 "20_CAM_03"
"4" "20" "04" 13 "20_CAM_04"
"5" "20" "05" 14 "20_CAM_05"
"6" "21" "01" 39 "21_CAM_01"
"7" "21" "02" 40 "21_CAM_02"
"8" "21" "03" 27 "21_CAM_03"
"9" "21" "04" 9 "21_CAM_04"
"10" "21" "05" 11 "21_CAM_05"
"11" "21" "06" 12 "21_CAM_06"
"12" "21" "07" 10 "21_CAM_07"
"13" "21" "08" 8 "21_CAM_08"
"14" "21" "09" 10 "21_CAM_09"
"15" "21" "10" 16 "21_CAM_10"
"16" "21" "11" 8 "21_CAM_11"
"17" "21" "12" 7 "21_CAM_12"
"18" "21" "13" 6 "21_CAM_13"
"19" "21" "14" 14 "21_CAM_14"
"20" "21" "15" 25 "21_CAM_15"
"21" "21" "16" 10 "21_CAM_16"
"22" "21" "17" 9 "21_CAM_17"
"23" "21" "18" 3 "21_CAM_18"
"24" "22" "01" 51 "22_CAM_01"
"25" "22" "02" 40 "22_CAM_02"
"26" "22" "03" 55 "22_CAM_03"
"27" "22" "04" 61 "22_CAM_04"
"28" "22" "05" 16 "22_CAM_05"
"29" "22" "06" 24 "22_CAM_06"
"30" "22" "07" 26 "22_CAM_07"
"31" "22" "08" 18 "22_CAM_08"
"32" "22" "09" 14 "22_CAM_09"
"33" "22" "10" 26 "22_CAM_10"
"34" "22" "11" 17 "22_CAM_11"
"35" "22" "12" 9 "22_CAM_12"
"36" "22" "13" 11 "22_CAM_13"
"37" "22" "14" 10 "22_CAM_14"
"38" "22" "15" 7 "22_CAM_15"
"39" "22" "16" 21 "22_CAM_16"
"40" "22" "17" 15 "22_CAM_17"
"41" "22" "18" 12 "22_CAM_18"
"42" "22" "19" 11 "22_CAM_19"
"43" "22" "20" 10 "22_CAM_20"
"44" "22" "21" 4 "22_CAM_21"
