"Grid_code" "clust_smb_grid_plant" "clust_land_use" "clust_landscp" "sbm_soil" "sbm_virus"
"1" "20_CAM_01" 2 1 4 1 2
"2" "20_CAM_02" 2 1 4 1 4
"3" "20_CAM_03" 3 1 4 1 2
"4" "20_CAM_04" 7 1 4 1 1
"5" "20_CAM_05" 3 1 4 1 1
"6" "21_CAM_01" 1 1 4 4 2
"7" "21_CAM_02" 1 1 4 4 3
"8" "21_CAM_03" 1 2 4 4 4
"9" "21_CAM_04" 6 1 2 2 4
"10" "21_CAM_05" 6 1 4 2 4
"11" "21_CAM_06" 6 1 4 2 4
"12" "21_CAM_07" 6 1 2 2 4
"13" "21_CAM_08" 4 3 1 3 3
"14" "21_CAM_09" 4 3 1 3 3
"15" "21_CAM_10" 4 4 3 3 3
"16" "21_CAM_11" 4 4 3 1 4
"17" "21_CAM_12" 7 2 2 3 3
"18" "21_CAM_13" 7 2 2 3 4
"19" "21_CAM_16" 5 2 3 4 2
"20" "21_CAM_17" 7 2 3 4 4
"21" "21_CAM_18" 6 1 4 1 4
"22" "22_CAM_01" 1 1 4 3 4
"23" "22_CAM_02" 1 1 4 4 2
"24" "22_CAM_03" 1 1 3 3 2
"25" "22_CAM_04" 1 1 3 3 2
"26" "22_CAM_05" 3 1 3 2 2
"27" "22_CAM_06" 3 1 3 2 4
"28" "22_CAM_07" 3 1 3 2 2
"29" "22_CAM_08" 4 3 1 3 1
"30" "22_CAM_09" 4 3 1 3 1
"31" "22_CAM_10" 4 4 3 3 1
"32" "22_CAM_11" 4 4 3 3 1
"33" "22_CAM_12" 5 2 3 4 3
"34" "22_CAM_13" 5 2 3 4 2
"35" "22_CAM_14" 5 2 3 4 2
"36" "22_CAM_16" 3 1 2 2 2
"37" "22_CAM_17" 3 1 2 2 4
"38" "22_CAM_18" 6 1 1 2 1
"39" "22_CAM_19" 6 1 2 2 3
"40" "22_CAM_20" 6 1 4 1 4
"41" "22_CAM_21" 6 1 4 2 4
